"Kernel","Metric Name","Metric Description","Min","Max","Avg"
"row_sums__one_block_per_chunked_rows","inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_global_stores","Warp level instructions for global stores",262144,262144,262144
"row_sums__one_block_per_chunked_rows","inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_shared_stores","Warp level instructions for shared stores",2621440,2621440,2621440
"row_sums__one_block_per_chunked_rows","inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_global_reductions","Warp level instructions for global reductions",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"row_sums__one_block_per_chunked_rows","l2_global_load_bytes","Bytes read from L2 for misses in Unified Cache for global loads",1073741824,1073741824,1073741824
"row_sums__one_block_per_chunked_rows","l2_local_load_bytes","Bytes read from L2 for misses in Unified Cache for local loads",0,0,0
"row_sums__one_block_per_chunked_rows","l2_surface_load_bytes","Bytes read from L2 for misses in Unified Cache for surface loads",0,0,0
"row_sums__one_block_per_chunked_rows","dram_read_bytes","Total bytes read from DRAM to L2 cache",1079551872,1081886208,1080495498
"row_sums__one_block_per_chunked_rows","dram_write_bytes","Total bytes written from L2 cache to DRAM",587936,984864,703322
"row_sums__one_block_per_chunked_rows","l2_local_global_store_bytes","Bytes written to L2 from Unified Cache for local and global stores.",524288,524288,524288
"row_sums__one_block_per_chunked_rows","l2_global_reduction_bytes","Bytes written to L2 from Unified cache for global reductions",0,0,0
"row_sums__one_block_per_chunked_rows","l2_global_atomic_store_bytes","Bytes written to L2 from Unified cache for global atomics",0,0,0
"row_sums__one_block_per_chunked_rows","l2_surface_store_bytes","Bytes written to L2 from Unified Cache for surface stores.",0,0,0
"row_sums__one_block_per_chunked_rows","l2_surface_reduction_bytes","Bytes written to L2 from Unified Cache for surface reductions",0,0,0
"row_sums__one_block_per_chunked_rows","l2_surface_atomic_store_bytes","Bytes transferred between Unified Cache and L2 for surface atomics",0,0,0
"row_sums__one_block_per_chunked_rows","global_load_requests","Total number of global load requests from Multiprocessor",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows","local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","global_store_requests","Total number of global store requests from Multiprocessor",16384,16384,16384
"row_sums__one_block_per_chunked_rows","local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","global_reduction_requests","Total number of global reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows","stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.897904%,2.914722%,2.906190%
"row_sums__one_block_per_chunked_rows","stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.241332%,7.271992%,7.255687%
"row_sums__one_block_per_chunked_rows","stall_memory_dependency","Issue Stall Reasons (Data Request)",77.401304%,77.564335%,77.483980%
"row_sums__one_block_per_chunked_rows","stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","stall_sync","Issue Stall Reasons (Synchronization)",6.564008%,6.672450%,6.615853%
"row_sums__one_block_per_chunked_rows","stall_other","Issue Stall Reasons (Other)",4.616054%,4.643128%,4.629044%
"row_sums__one_block_per_chunked_rows","stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.005874%,0.006519%,0.006053%
"row_sums__one_block_per_chunked_rows","stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.425152%,0.426944%,0.425803%
"row_sums__one_block_per_chunked_rows","stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.002856%,0.003284%,0.003050%
"row_sums__one_block_per_chunked_rows","stall_not_selected","Issue Stall Reasons (Not Selected)",0.673645%,0.675309%,0.674338%
"row_sums__one_block_per_chunked_rows","sysmem_read_transactions","System Memory Read Transactions",0,0,0
"row_sums__one_block_per_chunked_rows","sysmem_write_transactions","System Memory Write Transactions",5,5,5
"row_sums__one_block_per_chunked_rows","l2_read_transactions","L2 Read Transactions",33734785,33813971,33769026
"row_sums__one_block_per_chunked_rows","l2_write_transactions","L2 Write Transactions",16390,16390,16390
"row_sums__one_block_per_chunked_rows","ecc_transactions","ECC Transactions",0,0,0
"row_sums__one_block_per_chunked_rows","local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","tex_cache_hit_rate","Unified Cache Hit Rate",49.987796%,49.987796%,49.987796%
"row_sums__one_block_per_chunked_rows","l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.366211%,0.842285%,0.500488%
"row_sums__one_block_per_chunked_rows","l2_tex_read_throughput","L2 Throughput (Texture Reads)",158.145872GB/s,158.304972GB/s,158.205527GB/s
"row_sums__one_block_per_chunked_rows","l2_tex_write_throughput","L2 Throughput (Texture Writes)",79.072936MB/s,79.152485MB/s,79.102762MB/s
"row_sums__one_block_per_chunked_rows","l2_tex_read_transactions","L2 Transactions (Texture Reads)",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows","l2_tex_write_transactions","L2 Transactions (Texture Writes)",16384,16384,16384
"row_sums__one_block_per_chunked_rows","l2_read_throughput","L2 Throughput (Reads)",159.015462GB/s,159.444806GB/s,159.217317GB/s
"row_sums__one_block_per_chunked_rows","l2_write_throughput","L2 Throughput (Writes)",79.101893MB/s,79.181472MB/s,79.131731MB/s
"row_sums__one_block_per_chunked_rows","sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows","sysmem_write_throughput","System Memory Write Throughput",24.709961KB/s,24.734375KB/s,24.718750KB/s
"row_sums__one_block_per_chunked_rows","l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows","l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows","l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"row_sums__one_block_per_chunked_rows","sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows","sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_chunked_rows","sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","pcie_total_data_transmitted","PCIe Total Data Transmitted",0,1536,341
"row_sums__one_block_per_chunked_rows","pcie_total_data_received","PCIe Total Data Received",0,1024,170
"row_sums__one_block_per_chunked_rows","sysmem_read_bytes","System Memory Read Bytes",0,0,0
"row_sums__one_block_per_chunked_rows","sysmem_write_bytes","System Memory Write Bytes",160,160,160
"row_sums__one_block_per_chunked_rows","l2_tex_hit_rate","L2 Cache Hit Rate",0.000179%,0.000411%,0.000244%
"row_sums__one_block_per_chunked_rows","gld_transactions","Global Load Transactions",134217730,134217730,134217730
"row_sums__one_block_per_chunked_rows","gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"row_sums__one_block_per_chunked_rows","eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.429482,1.436375,1.433079
"row_sums__one_block_per_chunked_rows","flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.794600%,0.799285%,0.797187%
"row_sums__one_block_per_chunked_rows","flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","sm_efficiency","Multiprocessor Activity",99.134033%,99.608934%,99.401847%
"row_sums__one_block_per_row_strided","achieved_occupancy","Achieved Occupancy",0.998178,0.998593,0.998412
"row_sums__one_block_per_row_strided","ipc","Executed IPC",1.227765,1.235520,1.233083
"row_sums__one_block_per_row_strided","issued_ipc","Issued IPC",1.230119,1.235098,1.232393
"row_sums__one_block_per_row_strided","inst_per_warp","Instructions per warp",161550.000000,161550.000000,161550.000000
"row_sums__one_block_per_row_strided","branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_row_strided","warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_row_strided","warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",87.321572%,87.321572%,87.321572%
"row_sums__one_block_per_row_strided","inst_replay_overhead","Instruction Replay Overhead",0.000039,0.000042,0.000041
"row_sums__one_block_per_row_strided","issue_slot_utilization","Issue Slot Utilization",25.099793%,25.201389%,25.146200%
"row_sums__one_block_per_row_strided","shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.134868,0.134868,0.134868
"row_sums__one_block_per_row_strided","shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.225000,0.225000,0.225000
"row_sums__one_block_per_row_strided","local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_row_strided","local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_row_strided","gst_transactions_per_request","Global Store Transactions Per Request",0.062500,0.062500,0.062500
"row_sums__one_block_per_row_strided","shared_store_transactions","Shared Store Transactions",589824,589824,589824
"row_sums__one_block_per_row_strided","shared_load_transactions","Shared Load Transactions",671744,671744,671744
"row_sums__one_block_per_row_strided","local_load_transactions","Local Load Transactions",0,0,0
"row_sums__one_block_per_row_strided","local_store_transactions","Local Store Transactions",0,0,0
"row_sums__one_block_per_row_strided","gst_transactions","Global Store Transactions",16384,16384,16384
"row_sums__one_block_per_row_strided","dram_read_transactions","Device Memory Read Transactions",33734074,33786284,33761740
"row_sums__one_block_per_row_strided","dram_write_transactions","Device Memory Write Transactions",4962,22646,10870
"row_sums__one_block_per_row_strided","global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","gld_requested_throughput","Requested Global Load Throughput",158.851895GB/s,158.972327GB/s,158.915766GB/s
"row_sums__one_block_per_row_strided","gst_requested_throughput","Requested Global Store Throughput",9.928243MB/s,9.935770MB/s,9.932235MB/s
"row_sums__one_block_per_row_strided","gld_throughput","Global Load Throughput",158.851895GB/s,158.972327GB/s,158.915766GB/s
"row_sums__one_block_per_row_strided","gst_throughput","Global Store Throughput",79.425947MB/s,79.486163MB/s,79.457882MB/s
"row_sums__one_block_per_row_strided","dram_read_throughput","Device Memory Read Throughput",159.778407GB/s,160.056353GB/s,159.897589GB/s
"row_sums__one_block_per_row_strided","dram_write_throughput","Device Memory Write Throughput",24.072896MB/s,109.817412MB/s,52.717311MB/s
"row_sums__one_block_per_row_strided","tex_cache_throughput","Unified Cache Throughput",158.851895GB/s,158.972327GB/s,158.915766GB/s
"row_sums__one_block_per_row_strided","local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_row_strided","local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_row_strided","shared_load_throughput","Shared Memory Load Throughput",12.720562GB/s,12.730206GB/s,12.725677GB/s
"row_sums__one_block_per_row_strided","shared_store_throughput","Shared Memory Store Throughput",11.169274GB/s,11.177742GB/s,11.173765GB/s
"row_sums__one_block_per_row_strided","gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_row_strided","gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"row_sums__one_block_per_row_strided","tex_cache_transactions","Unified Cache Transactions",33554432,33554432,33554432
"row_sums__one_block_per_row_strided","cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_row_strided","tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_row_strided","ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_row_strided","double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_row_strided","special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_row_strided","single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"row_sums__one_block_per_row_strided","flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_sp","Floating Point Operations(Single Precision)",276807680,276807680,276807680
"row_sums__one_block_per_row_strided","flop_count_sp_add","Floating Point Operations(Single Precision Add)",276807680,276807680,276807680
"row_sums__one_block_per_row_strided","flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"row_sums__one_block_per_row_strided","flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"row_sums__one_block_per_row_strided","inst_executed","Instructions Executed",165427200,165427200,165427200
"row_sums__one_block_per_row_strided","inst_issued","Instructions Issued",165433640,165433944,165433824
"row_sums__one_block_per_row_strided","dram_utilization","Device Memory Utilization","High (8)","High (8)","High (8)"
"row_sums__one_block_per_row_strided","tex_utilization","Unified Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_row_strided","shared_efficiency","Shared Memory Efficiency",83.035714%,83.035714%,83.035714%
"row_sums__one_block_per_row_strided","shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_row_strided","inst_fp_32","FP Instructions(Single)",276807680,276807680,276807680
"row_sums__one_block_per_row_strided","inst_fp_64","FP Instructions(Double)",0,0,0
"row_sums__one_block_per_row_strided","inst_integer","Integer Instructions",2994896896,2994896896,2994896896
"row_sums__one_block_per_row_strided","inst_bit_convert","Bit-Convert Instructions",0,0,0
"row_sums__one_block_per_row_strided","inst_control","Control-Flow Instructions",872415232,872415232,872415232
"row_sums__one_block_per_row_strided","inst_compute_ld_st","Load/Store Instructions",377470976,377470976,377470976
"row_sums__one_block_per_row_strided","inst_misc","Misc Instructions",100925440,100925440,100925440
"row_sums__one_block_per_row_strided","inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"row_sums__one_block_per_row_strided","issue_slots","Issue Slots",135022716,135022963,135022867
"row_sums__one_block_per_row_strided","cf_issued","Issued Control-Flow Instructions",36440064,36440064,36440064
"row_sums__one_block_per_row_strided","cf_executed","Executed Control-Flow Instructions",36440064,36440064,36440064
"row_sums__one_block_per_row_strided","ldst_issued","Issued Load/Store Instructions",45893632,45893632,45893632
"row_sums__one_block_per_row_strided","ldst_executed","Executed Load/Store Instructions",23332864,23332864,23332864
"row_sums__one_block_per_row_strided","atomic_transactions","Atomic Transactions",0,0,0
"row_sums__one_block_per_row_strided","atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_row_strided","inst_executed_global_loads","Warp level instructions for global loads",8388608,8388608,8388608
"row_sums__one_block_per_row_strided","inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_shared_loads","Warp level instructions for shared loads",4980736,4980736,4980736
"row_sums__one_block_per_row_strided","inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_global_stores","Warp level instructions for global stores",262144,262144,262144
"row_sums__one_block_per_row_strided","inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_shared_stores","Warp level instructions for shared stores",2621440,2621440,2621440
"row_sums__one_block_per_row_strided","inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_global_reductions","Warp level instructions for global reductions",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",0,0,0
"row_sums__one_block_per_row_strided","inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"row_sums__one_block_per_row_strided","l2_global_load_bytes","Bytes read from L2 for misses in Unified Cache for global loads",1073741824,1073741824,1073741824
"row_sums__one_block_per_row_strided","l2_local_load_bytes","Bytes read from L2 for misses in Unified Cache for local loads",0,0,0
"row_sums__one_block_per_row_strided","l2_surface_load_bytes","Bytes read from L2 for misses in Unified Cache for surface loads",0,0,0
"row_sums__one_block_per_row_strided","dram_read_bytes","Total bytes read from DRAM to L2 cache",1079490368,1081161088,1080375680
"row_sums__one_block_per_row_strided","dram_write_bytes","Total bytes written from L2 cache to DRAM",158784,724672,347845
"row_sums__one_block_per_row_strided","l2_local_global_store_bytes","Bytes written to L2 from Unified Cache for local and global stores.",524288,524288,524288
"row_sums__one_block_per_row_strided","l2_global_reduction_bytes","Bytes written to L2 from Unified cache for global reductions",0,0,0
"row_sums__one_block_per_row_strided","l2_global_atomic_store_bytes","Bytes written to L2 from Unified cache for global atomics",0,0,0
"row_sums__one_block_per_row_strided","l2_surface_store_bytes","Bytes written to L2 from Unified Cache for surface stores.",0,0,0
"row_sums__one_block_per_row_strided","l2_surface_reduction_bytes","Bytes written to L2 from Unified Cache for surface reductions",0,0,0
"row_sums__one_block_per_row_strided","l2_surface_atomic_store_bytes","Bytes transferred between Unified Cache and L2 for surface atomics",0,0,0
"row_sums__one_block_per_row_strided","global_load_requests","Total number of global load requests from Multiprocessor",33554432,33554432,33554432
"row_sums__one_block_per_row_strided","local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","global_store_requests","Total number of global store requests from Multiprocessor",16384,16384,16384
"row_sums__one_block_per_row_strided","local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","global_reduction_requests","Total number of global reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_row_strided","stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.346042%,3.357043%,3.351087%
"row_sums__one_block_per_row_strided","stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.121099%,7.154837%,7.137790%
"row_sums__one_block_per_row_strided","stall_memory_dependency","Issue Stall Reasons (Data Request)",77.111794%,77.168961%,77.140211%
"row_sums__one_block_per_row_strided","stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","stall_sync","Issue Stall Reasons (Synchronization)",6.583197%,6.669133%,6.612556%
"row_sums__one_block_per_row_strided","stall_other","Issue Stall Reasons (Other)",4.724936%,4.767492%,4.742483%
"row_sums__one_block_per_row_strided","stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.006474%,0.007175%,0.006733%
"row_sums__one_block_per_row_strided","stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.393776%,0.395296%,0.394386%
"row_sums__one_block_per_row_strided","stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.002601%,0.002932%,0.002803%
"row_sums__one_block_per_row_strided","stall_not_selected","Issue Stall Reasons (Not Selected)",0.610945%,0.613634%,0.611950%
"row_sums__one_block_per_row_strided","sysmem_read_transactions","System Memory Read Transactions",0,0,0
"row_sums__one_block_per_row_strided","sysmem_write_transactions","System Memory Write Transactions",5,5,5
"row_sums__one_block_per_row_strided","l2_read_transactions","L2 Read Transactions",33687887,33820417,33731708
"row_sums__one_block_per_row_strided","l2_write_transactions","L2 Write Transactions",16390,16449,16399
"row_sums__one_block_per_row_strided","ecc_transactions","ECC Transactions",0,0,0
"row_sums__one_block_per_row_strided","local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","tex_cache_hit_rate","Unified Cache Hit Rate",49.987796%,49.987796%,49.987796%
"row_sums__one_block_per_row_strided","l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided","l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",90.740967%,95.880127%,94.124349%
"row_sums__one_block_per_row_strided","l2_tex_read_throughput","L2 Throughput (Texture Reads)",158.851895GB/s,158.972327GB/s,158.915766GB/s
"row_sums__one_block_per_row_strided","l2_tex_write_throughput","L2 Throughput (Texture Writes)",79.425947MB/s,79.486163MB/s,79.457882MB/s
"row_sums__one_block_per_row_strided","l2_tex_read_transactions","L2 Transactions (Texture Reads)",33554432,33554432,33554432
"row_sums__one_block_per_row_strided","l2_tex_write_transactions","L2 Transactions (Texture Writes)",16384,16384,16384
"row_sums__one_block_per_row_strided","l2_read_throughput","L2 Throughput (Reads)",159.553746GB/s,160.111109GB/s,159.755359GB/s
"row_sums__one_block_per_row_strided","l2_write_throughput","L2 Throughput (Writes)",79.469728MB/s,79.741053MB/s,79.534670MB/s
"row_sums__one_block_per_row_strided","sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_row_strided","sysmem_write_throughput","System Memory Write Throughput",24.820312KB/s,24.838867KB/s,24.830078KB/s
"row_sums__one_block_per_row_strided","l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_row_strided","l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_row_strided","l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"row_sums__one_block_per_row_strided","sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_row_strided","ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_row_strided","sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_row_strided","sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_row_strided","pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,256
"row_sums__one_block_per_row_strided","pcie_total_data_received","PCIe Total Data Received",0,0,0
"row_sums__one_block_per_row_strided","sysmem_read_bytes","System Memory Read Bytes",0,0,0
"row_sums__one_block_per_row_strided","sysmem_write_bytes","System Memory Write Bytes",160,160,160
"row_sums__one_block_per_row_strided","l2_tex_hit_rate","L2 Cache Hit Rate",0.044285%,0.046794%,0.045937%
"row_sums__one_block_per_row_strided","gld_transactions","Global Load Transactions",134217730,134217730,134217730
"row_sums__one_block_per_row_strided","gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"row_sums__one_block_per_row_strided","eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.386143,1.391272,1.388529
"row_sums__one_block_per_row_strided","flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.799596%,0.804336%,0.801871%
"row_sums__one_block_per_row_strided","flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_row_strided__warp_aware","sm_efficiency","Multiprocessor Activity",99.174076%,99.698252%,99.466164%
"row_sums__one_block_per_row_strided__warp_aware","achieved_occupancy","Achieved Occupancy",0.998557,0.998882,0.998777
"row_sums__one_block_per_row_strided__warp_aware","ipc","Executed IPC",1.093752,1.098964,1.096355
"row_sums__one_block_per_row_strided__warp_aware","issued_ipc","Issued IPC",1.093635,1.099863,1.096409
"row_sums__one_block_per_row_strided__warp_aware","inst_per_warp","Instructions per warp",143503.000000,143503.000000,143503.000000
"row_sums__one_block_per_row_strided__warp_aware","branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_row_strided__warp_aware","warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_row_strided__warp_aware","warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",93.685909%,93.685909%,93.685909%
"row_sums__one_block_per_row_strided__warp_aware","inst_replay_overhead","Instruction Replay Overhead",0.000059,0.000060,0.000059
"row_sums__one_block_per_row_strided__warp_aware","issue_slot_utilization","Issue Slot Utilization",22.347305%,22.474550%,22.403970%
"row_sums__one_block_per_row_strided__warp_aware","shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"row_sums__one_block_per_row_strided__warp_aware","shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"row_sums__one_block_per_row_strided__warp_aware","local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_row_strided__warp_aware","local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_row_strided__warp_aware","gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"row_sums__one_block_per_row_strided__warp_aware","shared_store_transactions","Shared Store Transactions",263168,263168,263168
"row_sums__one_block_per_row_strided__warp_aware","shared_load_transactions","Shared Load Transactions",16384,16384,16384
"row_sums__one_block_per_row_strided__warp_aware","local_load_transactions","Local Load Transactions",0,0,0
